"Model","Scenario","Overshoot","Max.Coal.Asia","Max.Coal.LAM","Max.Coal.MAF","Max.Coal.OECD","Max.Coal.REF","Max.Gas.Asia","Max.Gas.LAM","Max.Gas.MAF","Max.Gas.OECD","Max.Gas.REF","Zone.All"
"POLES ADVANCE","ADVANCE_2030_Price1.5C","HO","C (30-40)","A (30-40)","A (30-40)","A (30-40)","C (30-40)","A (30-40)","A (30-40)","B (30-40)","A (30-40)","D (30-40)","C"
"POLES ADVANCE","ADVANCE_2030_WB2C","HO","B (30-40)","","A (30-40)","A (20-30)","B (30-40)","","","A (30-40)","A (30-40)","A (30-40)","B"
"POLES EMF33","EMF33_1.5C_cost100","NO/LO",NA,NA,"A (20-30)",NA,"B (20-30)",NA,NA,"B (20-30)",NA,"B (20-30)",NA
"POLES EMF33","EMF33_1.5C_full","NO/LO",NA,NA,"A (20-30)",NA,"B (20-30)",NA,NA,"A (20-30)",NA,"B (20-30)",NA
"POLES EMF33","EMF33_1.5C_limbio","NO/LO",NA,NA,"D (20-30)",NA,"D (20-30)",NA,NA,"C (20-30)",NA,"C (20-30)",NA
"POLES EMF33","EMF33_1.5C_nofuel","NO/LO",NA,NA,"A (20-30)",NA,"B (20-30)",NA,NA,"B (20-30)",NA,"C (20-30)",NA
"POLES EMF33","EMF33_WB2C_cost100","NO/LO",NA,NA,"A (20-30)",NA,"A (20-30)",NA,NA,"",NA,"A (20-30)",NA
"POLES EMF33","EMF33_WB2C_full","NO/LO",NA,NA,"A (20-30)",NA,"A (20-30)",NA,NA,"",NA,"A (20-30)",NA
"POLES EMF33","EMF33_WB2C_limbio","NO/LO",NA,NA,"A (20-30)",NA,"A (20-30)",NA,NA,"A (20-30)",NA,"A (20-30)",NA
"POLES EMF33","EMF33_WB2C_nobeccs","NO/LO",NA,NA,"A (20-30)",NA,"B (20-30)",NA,NA,"A (20-30)",NA,"B (20-30)",NA
"POLES EMF33","EMF33_WB2C_nofuel","NO/LO",NA,NA,"A (20-30)",NA,"A (20-30)",NA,NA,"",NA,"A (20-30)",NA
"POLES EMF33","EMF33_WB2C_none","NO/LO",NA,NA,"A (20-30)",NA,"B (20-30)",NA,NA,"A (20-30)",NA,"B (20-30)",NA
"REMIND 1.7","ADVANCE_2020_1.5C-2100","HO","C (20-30)","","","B (20-30)","A (20-30)","B (30-40)","A (20-30)","C (30-40)","B (30-40)","C (20-30)","C"
"REMIND 1.7","ADVANCE_2030_1.5C-2100","HO","B (30-40)","","","B (20-30)","","A (30-40)","A (30-40)","C (40-50)","A (30-40)","C (30-40)","C"
"REMIND 1.7","ADVANCE_2030_Price1.5C","HO","B (30-40)","","","B (20-30)","","A (30-40)","A (30-40)","C (40-50)","A (30-40)","C (30-40)","C"
"REMIND 1.7","CEMICS-1.5-CDR12","NO/LO","B (20-30)","","","B (20-30)","A (20-30)","B (30-40)","B (20-30)","C (20-30)","B (30-40)","C (20-30)","C"
"REMIND 1.7","CEMICS-1.5-CDR20","HO","B (20-30)","","","B (20-30)","A (20-30)","B (30-40)","B (20-30)","C (30-40)","B (30-40)","B (20-30)","C"
"REMIND 1.7","CEMICS-1.5-CDR8","NO/LO","C (20-30)","","","B (20-30)","A (20-30)","A (20-30)","B (20-30)","C (20-30)","B (30-40)","C (20-30)","C"
"REMIND-MAgPIE 1.5","SSP1-19","HO","B (20-30)","A (30-40)","","A (20-30)","","A (30-40)","A (20-30)","C (30-40)","A (20-30)","B (30-40)","C"
"REMIND-MAgPIE 1.5","SSP2-19","HO","B (20-30)","B (30-40)","","A (20-30)","","","B (30-40)","C (30-40)","A (20-30)","B (30-40)","C"
"REMIND-MAgPIE 1.5","SSP5-19","HO","B (20-30)","","","A (20-30)","","A (30-40)","B (30-40)","B (30-40)","A (30-40)","B (40-50)","B"
"REMIND-MAgPIE 1.7-3.0","CD-LINKS_NPi2020_400","HO","B (20-30)","","","A (20-30)","A (20-30)","B (30-40)","A (20-30)","C (30-40)","B (30-40)","B (20-30)","C"
"REMIND-MAgPIE 1.7-3.0","EMF33_1.5C_cost100","HO","C (20-30)","A (20-30)","","B (20-30)","","","A (20-30)","B (30-40)","","D (20-30)","C"
"REMIND-MAgPIE 1.7-3.0","EMF33_1.5C_full","HO","C (20-30)","","","B (20-30)","","","A (30-40)","B (30-40)","","B (30-40)","C"
"REMIND-MAgPIE 1.7-3.0","EMF33_1.5C_nofuel","HO","C (20-30)","A (20-30)","","B (20-30)","","","A (20-30)","C (30-40)","A (30-40)","D (20-30)","C"
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","HO","C (20-30)","","","A (20-30)","","","A (20-30)","C (30-40)","B (30-40)","B (20-30)","C"
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_goodpractice","HO","B (30-40)","","","A (20-30)","","A (40-50)","A (30-40)","C (40-50)","B (30-40)","B (30-40)","C"
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_NDC","HO","B (30-40)","","","A (20-30)","","A (40-50)","A (30-40)","C (40-50)","B (30-40)","C (30-40)","C"
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_netzero","HO","B (20-30)","","","A (20-30)","","A (40-50)","A (30-40)","B (30-40)","A (30-40)","B (30-40)","B"
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_red_eff","NO/LO","B (20-30)","","","A (20-30)","","","A (20-30)","C (20-30)","B (30-40)","C (20-30)","C"
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_Def","NO/LO","C (20-30)","","","A (20-30)","","B (30-40)","A (20-30)","B (20-30)","A (30-40)","B (20-30)","C"
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_early","NO/LO","B (20-30)","","","A (20-30)","","B (30-40)","B (20-30)","C (20-30)","B (20-30)","C (20-30)","C"
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_lifesty","NO/LO","C (20-30)","","","B (20-30)","","B (30-40)","A (20-30)","B (20-30)","A (30-40)","B (30-40)","C"
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_regul","NO/LO","C (20-30)","","","A (20-30)","","B (30-40)","A (20-30)","C (20-30)","A (20-30)","C (20-30)","C"
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_Sust","NO/LO","B (20-30)","","","A (20-30)","","B (30-40)","A (20-30)","C (20-30)","A (30-40)","C (20-30)","C"
"REMIND-MAgPIE 1.7-3.0","SMP_2C_lifesty","HO","B (20-30)","","","A (20-30)","","","A (30-40)","B (30-40)","A (30-40)","B (30-40)","B"
"REMIND-MAgPIE 1.7-3.0","SMP_2C_regul","HO","B (20-30)","","","B (20-30)","","B (30-40)","A (20-30)","B (30-40)","A (30-40)","B (30-40)","B"
"REMIND-MAgPIE 1.7-3.0","SMP_2C_Sust","NO/LO","C (20-30)","","","B (20-30)","","A (40-50)","A (20-30)","B (20-30)","A (40-50)","B (30-40)","C"
"WITCH-GLOBIOM 3.1","SSP1-19","NO/LO","C (20-30)","","","B (20-30)","A (20-30)","A (20-30)","B (20-30)","C (20-30)","A (20-30)","B (20-30)","C"
"WITCH-GLOBIOM 3.1","SSP4-19","NO/LO","C (20-30)","","","B (20-30)","B (20-30)","A (20-30)","B (20-30)","C (20-30)","A (20-30)","B (20-30)","C"
"WITCH-GLOBIOM 4.2","ADVANCE_2020_1.5C-2100","NO/LO","C (20-30)","","","A (20-30)","A (20-30)","A (20-30)","A (20-30)","","","B (20-30)","C"
"WITCH-GLOBIOM 4.4","CD-LINKS_NPi2020_1000","NO/LO","C (20-30)","","","C (20-30)","A (20-30)","","A (20-30)","A (20-30)","A (20-30)","A (20-30)","C"
"WITCH-GLOBIOM 4.4","CD-LINKS_NPi2020_400","NO/LO","C (20-30)","","","C (20-30)","A (20-30)","D (20-30)","A (20-30)","A (20-30)","A (20-30)","B (20-30)","C"
